1,2,3,4,5,6,7,8,9,10
"Empire Strikes Back, The (1980)","Usual Suspects, The (1995)",Fargo (1996),"Princess Bride, The (1987)",Alien (1979),Return of the Jedi (1983),Amadeus (1984),Casablanca (1942),Titanic (1997),Rear Window (1954)
"Boot, Das (1981)",Return of the Jedi (1983),"Usual Suspects, The (1995)",Pulp Fiction (1994),Monty Python and the Holy Grail (1974),Schindler's List (1993),Jaws (1975),"Shining, The (1980)",Casablanca (1942),Titanic (1997)
"Godfather, The (1972)","Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Fargo (1996),One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",Rear Window (1954),"Empire Strikes Back, The (1980)",Psycho (1960),Casablanca (1942)
Raiders of the Lost Ark (1981),Forrest Gump (1994),"Godfather: Part II, The (1974)",Titanic (1997),"Blues Brothers, The (1980)",Indiana Jones and the Last Crusade (1989),"Bridge on the River Kwai, The (1957)",Apollo 13 (1995),One Flew Over the Cuckoo's Nest (1975),Amadeus (1984)
Pulp Fiction (1994),"Godfather, The (1972)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Blade Runner (1982),"Silence of the Lambs, The (1991)",Terminator 2: Judgment Day (1991),GoodFellas (1990),E.T. the Extra-Terrestrial (1982),Titanic (1997)
Star Wars (1977),Star Trek: First Contact (1996),"Silence of the Lambs, The (1991)",Fargo (1996),Ransom (1996),"Shawshank Redemption, The (1994)",Heat (1995),Toy Story (1995),Return of the Jedi (1983),Seven (Se7en) (1995)
Star Wars (1977),"Godfather, The (1972)",Return of the Jedi (1983),Titanic (1997),Contact (1997),Trainspotting (1996),"Celluloid Closet, The (1995)","Boot, Das (1981)",Marvin's Room (1996),Dead Man Walking (1995)
2001: A Space Odyssey (1968),Raiders of the Lost Ark (1981),One Flew Over the Cuckoo's Nest (1975),Toy Story (1995),Citizen Kane (1941),E.T. the Extra-Terrestrial (1982),Patton (1970),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Brazil (1985),Jaws (1975)
Titanic (1997),Good Will Hunting (1997),L.A. Confidential (1997),"Full Monty, The (1997)","Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Seven Years in Tibet (1997),Jerry Maguire (1996),Wag the Dog (1997),Ulee's Gold (1997),Amistad (1997)
"Godfather, The (1972)",Return of the Jedi (1983),Braveheart (1995),Casablanca (1942),North by Northwest (1959),"Shawshank Redemption, The (1994)",Terminator 2: Judgment Day (1991),Schindler's List (1993),"Boot, Das (1981)",Jaws (1975)
L.A. Confidential (1997),"English Patient, The (1996)","Full Monty, The (1997)",Air Force One (1997),"Rainmaker, The (1997)",As Good As It Gets (1997),"Usual Suspects, The (1995)",Eve's Bayou (1997),Some Like It Hot (1959),Jerry Maguire (1996)
Secrets & Lies (1996),"Godfather, The (1972)",Lone Star (1996),Amadeus (1984),Schindler's List (1993),"Room with a View, A (1986)","Remains of the Day, The (1993)",L.A. Confidential (1997),"Unbearable Lightness of Being, The (1988)",Citizen Kane (1941)
Titanic (1997),L.A. Confidential (1997),Air Force One (1997),Good Will Hunting (1997),Star Wars (1977),"Full Monty, The (1997)","Game, The (1997)",Return of the Jedi (1983),Dead Man Walking (1995),Evita (1996)
Titanic (1997),L.A. Confidential (1997),Fargo (1996),Star Wars (1977),Anna Karenina (1997),"Full Monty, The (1997)",Sense and Sensibility (1995),Good Will Hunting (1997),Air Force One (1997),Anastasia (1997)
Star Wars (1977),Star Trek: First Contact (1996),Return of the Jedi (1983),Men in Black (1997),Jerry Maguire (1996),"Shawshank Redemption, The (1994)",Contact (1997),Titanic (1997),"Silence of the Lambs, The (1991)",Fargo (1996)
Star Wars (1977),"Boot, Das (1981)",Toy Story (1995),Amadeus (1984),"Rock, The (1996)",One Flew Over the Cuckoo's Nest (1975),Pulp Fiction (1994),"Sting, The (1973)",Casablanca (1942),Patton (1970)
"Godfather, The (1972)",L.A. Confidential (1997),Fargo (1996),Brassed Off (1996),"Full Monty, The (1997)","Boot, Das (1981)",Raiders of the Lost Ark (1981),Secrets & Lies (1996),Titanic (1997),Men in Black (1997)
"Godfather, The (1972)",L.A. Confidential (1997),"Postino, Il (1994)",Mighty Aphrodite (1995),Kolya (1996),Antonia's Line (1995),"Full Monty, The (1997)","Usual Suspects, The (1995)","Wild Bunch, The (1969)",Breaking the Waves (1996)
"Godfather, The (1972)",Citizen Kane (1941),Psycho (1960),Casablanca (1942),"Godfather: Part II, The (1974)",GoodFellas (1990),One Flew Over the Cuckoo's Nest (1975),Schindler's List (1993),Vertigo (1958),"Wizard of Oz, The (1939)"
"English Patient, The (1996)",Good Will Hunting (1997),Scream (1996),"Full Monty, The (1997)",Amistad (1997),Contact (1997),Chasing Amy (1997),Apt Pupil (1998),Fly Away Home (1996),Fargo (1996)
Reservoir Dogs (1992),One Flew Over the Cuckoo's Nest (1975),Leaving Las Vegas (1995),"Sting, The (1973)","Shawshank Redemption, The (1994)",Die Hard (1988),"Wrong Trousers, The (1993)",GoodFellas (1990),Alien (1979),North by Northwest (1959)
Star Wars (1977),Titanic (1997),Air Force One (1997),Boogie Nights (1997),Ulee's Gold (1997),"Ice Storm, The (1997)",G.I. Jane (1997),Apt Pupil (1998),Good Will Hunting (1997),"Devil's Advocate, The (1997)"
Titanic (1997),L.A. Confidential (1997),Kolya (1996),"Godfather, The (1972)",Star Wars (1977),Sense and Sensibility (1995),Air Force One (1997),Lone Star (1996),Amistad (1997),"City of Lost Children, The (1995)"
Star Wars (1977),"Empire Strikes Back, The (1980)",Raiders of the Lost Ark (1981),Schindler's List (1993),"Princess Bride, The (1987)","Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975),Return of the Jedi (1983),Twelve Monkeys (1995),"Fish Called Wanda, A (1988)"
Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Blade Runner (1982),"Shawshank Redemption, The (1994)","Terminator, The (1984)","Godfather, The (1972)",Pulp Fiction (1994),"Usual Suspects, The (1995)",Apollo 13 (1995)
Star Wars (1977),Raiders of the Lost Ark (1981),"Empire Strikes Back, The (1980)",Braveheart (1995),"Godfather: Part II, The (1974)",Psycho (1960),Schindler's List (1993),Toy Story (1995),"Terminator, The (1984)",L.A. Confidential (1997)
Titanic (1997),L.A. Confidential (1997),E.T. the Extra-Terrestrial (1982),One Flew Over the Cuckoo's Nest (1975),"Godfather, The (1972)",Toy Story (1995),Good Will Hunting (1997),"Full Monty, The (1997)",Casablanca (1942),2001: A Space Odyssey (1968)
Kolya (1996),Titanic (1997),Good Will Hunting (1997),"Godfather, The (1972)","Usual Suspects, The (1995)",Apt Pupil (1998),Schindler's List (1993),"Game, The (1997)",As Good As It Gets (1997),"Room with a View, A (1986)"
Raiders of the Lost Ark (1981),Schindler's List (1993),"Princess Bride, The (1987)","Silence of the Lambs, The (1991)",Casablanca (1942),Pulp Fiction (1994),"Fugitive, The (1993)",Apollo 13 (1995),Rear Window (1954),"Terminator, The (1984)"
Titanic (1997),Contact (1997),Star Wars (1977),Alien (1979),Toy Story (1995),Raiders of the Lost Ark (1981),L.A. Confidential (1997),Braveheart (1995),"Nightmare on Elm Street, A (1984)","Shawshank Redemption, The (1994)"
"Silence of the Lambs, The (1991)",Indiana Jones and the Last Crusade (1989),Blade Runner (1982),Schindler's List (1993),Willy Wonka and the Chocolate Factory (1971),Toy Story (1995),Beauty and the Beast (1991),Star Trek: The Wrath of Khan (1982),Alien (1979),Apollo 13 (1995)
"Godfather, The (1972)","Godfather: Part II, The (1974)",Titanic (1997),Independence Day (ID4) (1996),When Harry Met Sally... (1989),Contact (1997),Glory (1989),One Flew Over the Cuckoo's Nest (1975),Braveheart (1995),GoodFellas (1990)
"Silence of the Lambs, The (1991)",Titanic (1997),Star Wars (1977),To Kill a Mockingbird (1962),Contact (1997),Casablanca (1942),"Shining, The (1980)",Blade Runner (1982),Fargo (1996),Twelve Monkeys (1995)
Star Wars (1977),Titanic (1997),Good Will Hunting (1997),Schindler's List (1993),"Full Monty, The (1997)",Casablanca (1942),Babe (1995),"Rainmaker, The (1997)",Sense and Sensibility (1995),Dead Man Walking (1995)
Titanic (1997),Scream (1996),Boogie Nights (1997),L.A. Confidential (1997),Apt Pupil (1998),"English Patient, The (1996)",Star Wars (1977),Gone with the Wind (1939),Air Force One (1997),Fargo (1996)
Star Wars (1977),"Empire Strikes Back, The (1980)",Amadeus (1984),"Godfather, The (1972)",Contact (1997),"Usual Suspects, The (1995)",Rear Window (1954),One Flew Over the Cuckoo's Nest (1975),Dead Man Walking (1995),Casablanca (1942)
Star Wars (1977),"Silence of the Lambs, The (1991)",Apocalypse Now (1979),GoodFellas (1990),Reservoir Dogs (1992),Glory (1989),"Wizard of Oz, The (1939)",Aliens (1986),Casablanca (1942),Rear Window (1954)
Casablanca (1942),"Godfather, The (1972)",Apocalypse Now (1979),Pulp Fiction (1994),Unforgiven (1992),Psycho (1960),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Shawshank Redemption, The (1994)",Aliens (1986),Big Night (1996)
Star Wars (1977),"Godfather, The (1972)",Fargo (1996),"Empire Strikes Back, The (1980)","Shawshank Redemption, The (1994)",To Kill a Mockingbird (1962),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),It's a Wonderful Life (1946)
Return of the Jedi (1983),Air Force One (1997),"Godfather, The (1972)",Scream (1996),Nikita (La Femme Nikita) (1990),"Boot, Das (1981)",Sense and Sensibility (1995),Emma (1996),In the Line of Fire (1993),"Princess Bride, The (1987)"
"Full Monty, The (1997)",Titanic (1997),Amistad (1997),Schindler's List (1993),"Sweet Hereafter, The (1997)",Four Days in September (1997),"Rainmaker, The (1997)",Monty Python and the Holy Grail (1974),Jackie Brown (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Amistad (1997),Good Will Hunting (1997),Apt Pupil (1998),"Full Monty, The (1997)",Leaving Las Vegas (1995),Kolya (1996),Primal Fear (1996),Gattaca (1997),Star Wars (1977),Return of the Jedi (1983)
Monty Python and the Holy Grail (1974),Pulp Fiction (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),This Is Spinal Tap (1984),"Clockwork Orange, A (1971)",North by Northwest (1959),"Bridge on the River Kwai, The (1957)",12 Angry Men (1957),Apocalypse Now (1979),Ran (1985)
Star Wars (1977),Fargo (1996),Toy Story (1995),Liar Liar (1997),"Full Monty, The (1997)",Dead Man Walking (1995),Trainspotting (1996),Donnie Brasco (1997),Leaving Las Vegas (1995),Titanic (1997)
Apocalypse Now (1979),Alien (1979),Pulp Fiction (1994),Casablanca (1942),Monty Python and the Holy Grail (1974),"Bridge on the River Kwai, The (1957)","Shining, The (1980)",GoodFellas (1990),Psycho (1960),Citizen Kane (1941)
Star Wars (1977),Titanic (1997),"Godfather, The (1972)","Shawshank Redemption, The (1994)","Spitfire Grill, The (1996)",Return of the Jedi (1983),Schindler's List (1993),Courage Under Fire (1996),"Rock, The (1996)","Boot, Das (1981)"
One Flew Over the Cuckoo's Nest (1975),Schindler's List (1993),It's a Wonderful Life (1946),"Silence of the Lambs, The (1991)",Vertigo (1958),Fargo (1996),Blade Runner (1982),Raging Bull (1980),"Boot, Das (1981)",Bonnie and Clyde (1967)
Fargo (1996),Star Wars (1977),"Godfather, The (1972)",Titanic (1997),"Postino, Il (1994)",Lone Star (1996),Mission: Impossible (1996),Men in Black (1997),Return of the Jedi (1983),Good Will Hunting (1997)
Citizen Kane (1941),"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),12 Angry Men (1957),One Flew Over the Cuckoo's Nest (1975),"Empire Strikes Back, The (1980)",L.A. Confidential (1997),Titanic (1997),2001: A Space Odyssey (1968),Indiana Jones and the Last Crusade (1989)
Fargo (1996),L.A. Confidential (1997),Secrets & Lies (1996),Toy Story (1995),"Usual Suspects, The (1995)",Amistad (1997),Donnie Brasco (1997),Trainspotting (1996),Rear Window (1954),Apt Pupil (1998)
Raiders of the Lost Ark (1981),Star Wars (1977),"Silence of the Lambs, The (1991)",Dead Poets Society (1989),Schindler's List (1993),Fargo (1996),Conspiracy Theory (1997),"Hunt for Red October, The (1990)",Aliens (1986),"Usual Suspects, The (1995)"
Raiders of the Lost Ark (1981),Return of the Jedi (1983),"Shawshank Redemption, The (1994)","Godfather, The (1972)","Godfather: Part II, The (1974)",Star Trek: The Wrath of Khan (1982),Schindler's List (1993),Seven (Se7en) (1995),Apocalypse Now (1979),Fargo (1996)
"Shawshank Redemption, The (1994)",Amadeus (1984),"Empire Strikes Back, The (1980)",It's a Wonderful Life (1946),"Wizard of Oz, The (1939)",Dead Man Walking (1995),Pulp Fiction (1994),Gone with the Wind (1939),Forrest Gump (1994),To Kill a Mockingbird (1962)
"Silence of the Lambs, The (1991)",Star Wars (1977),Twelve Monkeys (1995),Toy Story (1995),"Close Shave, A (1995)",Return of the Jedi (1983),Trainspotting (1996),"Postino, Il (1994)",Contact (1997),"Wrong Trousers, The (1993)"
"Clockwork Orange, A (1971)","Shawshank Redemption, The (1994)","Godfather: Part II, The (1974)","Silence of the Lambs, The (1991)",Pulp Fiction (1994),Back to the Future (1985),Gandhi (1982),Leaving Las Vegas (1995),Chinatown (1974),Rear Window (1954)
Star Wars (1977),"Shawshank Redemption, The (1994)",Schindler's List (1993),Jaws (1975),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)","Manchurian Candidate, The (1962)",Vertigo (1958),Forrest Gump (1994),"Sound of Music, The (1965)"
Braveheart (1995),"Godfather, The (1972)",Amadeus (1984),Casablanca (1942),Titanic (1997),"Princess Bride, The (1987)",Blade Runner (1982),"Shining, The (1980)",Contact (1997),"Good, The Bad and The Ugly, The (1966)"
L.A. Confidential (1997),Air Force One (1997),Apt Pupil (1998),Star Wars (1977),Fargo (1996),Good Will Hunting (1997),As Good As It Gets (1997),"Game, The (1997)",Dead Man Walking (1995),Amistad (1997)
Star Wars (1977),Gandhi (1982),Blade Runner (1982),"African Queen, The (1951)","Wizard of Oz, The (1939)",Titanic (1997),Alien (1979),Indiana Jones and the Last Crusade (1989),Terminator 2: Judgment Day (1991),Apocalypse Now (1979)
"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Men in Black (1997),"Wrong Trousers, The (1993)",Emma (1996),Raiders of the Lost Ark (1981),Ulee's Gold (1997),Titanic (1997),Twelve Monkeys (1995),"Postino, Il (1994)"
Air Force One (1997),Contact (1997),Mr. Holland's Opus (1995),Titanic (1997),Sense and Sensibility (1995),Good Will Hunting (1997),"Postino, Il (1994)",Secrets & Lies (1996),Independence Day (ID4) (1996),Sleepers (1996)
Titanic (1997),"Full Monty, The (1997)",Liar Liar (1997),Chasing Amy (1997),Starship Troopers (1997),Cop Land (1997),Fly Away Home (1996),Scream 2 (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",Apt Pupil (1998)
"Empire Strikes Back, The (1980)",Schindler's List (1993),"Godfather, The (1972)",Die Hard (1988),Terminator 2: Judgment Day (1991),Toy Story (1995),Sling Blade (1996),Casablanca (1942),It's a Wonderful Life (1946),Pulp Fiction (1994)
Star Wars (1977),"Usual Suspects, The (1995)",Schindler's List (1993),"Terminator, The (1984)",Lawrence of Arabia (1962),"Fugitive, The (1993)",Hoop Dreams (1994),"Bridge on the River Kwai, The (1957)",Cool Hand Luke (1967),"Birds, The (1963)"
Star Wars (1977),Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)",Schindler's List (1993),"Sting, The (1973)",North by Northwest (1959),"Bridge on the River Kwai, The (1957)",Raising Arizona (1987),Braveheart (1995)
"Full Monty, The (1997)",As Good As It Gets (1997),Amistad (1997),Deceiver (1997),"Close Shave, A (1995)",Contact (1997),Secrets & Lies (1996),Fargo (1996),Cold Comfort Farm (1995),Star Wars (1977)
Star Wars (1977),L.A. Confidential (1997),Vertigo (1958),Raising Arizona (1987),Titanic (1997),Alien (1979),Pulp Fiction (1994),Good Will Hunting (1997),Monty Python and the Holy Grail (1974),North by Northwest (1959)
L.A. Confidential (1997),Air Force One (1997),Star Wars (1977),Kolya (1996),Amistad (1997),Fly Away Home (1996),"Rainmaker, The (1997)","Devil's Advocate, The (1997)",Cop Land (1997),George of the Jungle (1997)
"Princess Bride, The (1987)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)","Empire Strikes Back, The (1980)",Back to the Future (1985),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),North by Northwest (1959),Much Ado About Nothing (1993),"Silence of the Lambs, The (1991)","Godfather, The (1972)"
Star Wars (1977),Return of the Jedi (1983),"Usual Suspects, The (1995)","Godfather, The (1972)",Aliens (1986),"Fugitive, The (1993)",Braveheart (1995),Blade Runner (1982),Schindler's List (1993),2001: A Space Odyssey (1968)
Titanic (1997),Scream (1996),Secrets & Lies (1996),"Godfather, The (1972)",Lone Star (1996),"Close Shave, A (1995)",Kolya (1996),Twelve Monkeys (1995),Rosewood (1997),Phenomenon (1996)
"English Patient, The (1996)",Apt Pupil (1998),Amistad (1997),"Full Monty, The (1997)","Godfather, The (1972)","Boot, Das (1981)",Star Wars (1977),Toy Story (1995),Fargo (1996),Grosse Pointe Blank (1997)
Star Wars (1977),"Godfather, The (1972)","English Patient, The (1996)",Good Will Hunting (1997),"Boot, Das (1981)",Titanic (1997),"Big Lebowski, The (1998)",Big Night (1996),"Empire Strikes Back, The (1980)",Swingers (1996)
"Shawshank Redemption, The (1994)",Braveheart (1995),Raiders of the Lost Ark (1981),Blade Runner (1982),Forrest Gump (1994),Star Trek: The Wrath of Khan (1982),Casablanca (1942),"Lion King, The (1994)","Rock, The (1996)",Apocalypse Now (1979)
"Godfather, The (1972)","Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Braveheart (1995),"Terminator, The (1984)",Schindler's List (1993),"Godfather: Part II, The (1974)","Shining, The (1980)","Close Shave, A (1995)"
